Sentence,label
動物も子供も普通に好きですが、わぁー！って寄っていくのには抵抗があるのです。外から見ててうらやましくて一人でドッグカフェ入ったことあるけど、まっったく盛り上がらんかった。当たり前か…,2
えべっさん行きたい行きたい！いやほんまはそうでもないんやけど、せっかくやし…,3
ミナミで焼き肉か…帰ってから考えるか…,3
誰かからの言葉をまっすぐ聞ける素直さと謙虚さ。あとは、それでも自分はこうなんだと言える強さが必要。,3
んっ！？何かおもろそうなテレビ始まった！ドラマ？,3
やばい、また自堕落な休みを満喫してしまいそうだ。今日は役所にいくんだ！がんばれ！大人への新しい一歩だ！,3
結構ギリギリで役所につき、急いでね～、とフロアを右往左往させられ、5分前に終業のチャイムが鳴った。物凄い勢いで人の波が通りすぎていく。すげぇ,0
【お詫び】お聞き苦しい発言があったことを、お詫びいたします。,2
今週から観たい映画がめじろ押し。ted、ライフオブパイ、つやのよる、ストロベリーナイト… 話題のレ・ミゼラブルも観たいし、２月公開のもいくつか気になるし…休みが足りないな。,3
ほんとにお腹パンパン…,2
お腹いたい…,2
寝込むたび、死について考える私は大袈裟でしょうか,2
仕事をあまり休んだことがないので、すんなり休めるともう明日も明後日もいかなくて大丈夫なんじゃないかと思えてくる。まぁ実際、そーなんだろうけど。,2
部屋の暖房が全然効かなくて寒い。28℃に設定してるのに…省エネの夏か。,2
OGG、KBB おなかゴロゴロ、顔ぶっつぶつ。,2
「ツレがうつになりまして」終わった。目がいたい。,2
誰か、明日の夜、焼き肉いこう。おなか治ってたら…,3
今週の、土、日、月、火のどれかで、19時くらいから暇なひといないかなぁ～…車でニトリ行って送ってくれるひと…,3
月曜か火曜の昼間、IKEAにもいきたい…,3
明日も明後日も、いい日でありますよーに。,3
苦労して育ててくれた親はもちろんのこと、親しくしていた周りの人間も、無力感や罪悪感にさいなまれることになる。,2
映画「ストロベリーナイト」観た。あかーん！あれはあかーん！大沢たかお渋すぎる。彼は私が最近提唱している「男は経年変化」を、今最も体現している人だと思う。,0
朝からの出来事と雨で全く行く気がしないのでお稽古は休んだ。先生にしたらなんとふざけた生徒だろう。せめてもの償いに、普段しないことをしてやろうと思います。,2
念願の「アラサーちゃん」読了。三角座りで一人、「あははっ」と声を出して笑ったりしながら一気読み。なんしか切り口が面白い。あるある～とか思いつつ、なるほどそんな見方が！と開眼させられたり。もしかしたら嫌悪を示す男子もいるかもとか思ったりしたけど、さら～っと皆読んでほしいなぁ。,0
夜中から出掛けようと思って、一から化粧したのに結局出掛けずにそのまま寝てしまった。起きたら顔ぱんっぱんですごい寝癖やのに、眉とチークだけバッチリ決まってるから凄く滑稽。,2
あれ？これ前にも言ったかな？,3
ハイ、反省ターイム。日々、反省材料が多くてへこむ。でも80まで生きるとして、まだ半分も来てないんだから当たり前じゃないか！と、思い直して明日も強く生きます。,2
お店やっても、家族は養えない。今ここにある現実。,2
寝ても寝ても眠いぜちきしょう！,2
眠すぎて傘持つのもダルくて上着のポケットに引っ掛けてズルズル～って目ぇつむって歩いたけど、みっともないからやめなさいなんて言わないでほしい。寝ます。オヤスミナサイ…,2
30分うたた寝したつもりの午前３時半。まさかここで帳尻が合うとは。寝よ。,2
好きな曲をカラオケで歌うときは、歌詞にないところほどしっかり歌いたい。でもハズイから歌わない。でも二人とかだったら歌う。,3
二日酔いです。すごく具合が悪いし、喉が痛い。声がでない。今日は五時からカラオケバトルなのに…,2
花粉症デビューしました。アルコールで顔が赤いのかと思ったら、目をこすりすぎて腫れ上がっている模様,2
昨日遊びすぎたので雑用をこなしまくっています。暖かいので徒歩移動。夕陽が目に染みるぜ。センチメンタルジャーニー♪,0
寝る頃になると、目と鼻がムズムズ…目を閉じてもゴロゴロ… ちきしょう、また、私の睡眠を邪魔する輩が増えたと見える…,2
いつもの店ではよくやることだけど、のっぴきならない状況により、よその店で初めて、小銭だけのお会計で帰った。は、ハズイ！この感覚を忘れないようにしよう。,2
今からカラオケいけるひと、21時に天王寺ジャンカラ集合！,3
二宮君の真似して「プラチナデータ。」って言うのにはまっています。映画はまだ観てないけど。キコちゃん出てるし観たいな～,3
就活用に撮ったぶりに証明写真を撮ったら、自分の顔の歪みっぷりに愕然としたので、左側で噛むことにします。,2
お洒落人達はこれをこんふぃちゅーると云うのですね。good night～♪,0
毎度おなじみ後輩指導。またもきつい言い方をしてしまい、へこむなう。ご飯食べよ。,2
夜中の公園でサッカーして、小腹が減ったのでロールキャベツ食べて寝ます。オヤスミナサイzzz,0
あー高飛びしたい。,2
もうだめだ…私もアラサーちゃん買おう…,3
梅田彩佳可愛いなぁ…！,0
あわわ！今最も脂の乗ってる40代、福山と大沢がガリレオで共演している！,0
こないだからディファインで瞳が大きくなっているのに加えて、暗めに染めたてでツヤツヤの髪と眉ブリーチが相まって、すっぴんの自分が8才児みたいで可愛い。そうか、可愛いって、こういうことか。,0
TSUTAYAの延滞料2400円。何やってんだろ…,2
きっと、私みたいなだらしないヤツのおかげで儲かってるんだろうな。てか、このままだと私は一生儲かんないんだろうな。,2
喉痛い。耳聞こえない。節々いたい…,2
熱い風呂に入り、スウェットを着込み、ヴィックスヴェポラップを鼻と喉にベタベタに塗り込み、タオルとマスクで保湿！枕元には濡れタオルとポカリ2Lで完全武装。なかなか男前な感じで、寝るっ！,3
痛みよ、去れ！いたとん！,3
この歳の風邪は辛い。昔は少々なら気合いでいけたし、仕事してたら紛れた。最近はほんまになんもできんし、長引く。えづきそうやけど、すき焼きとか食べよかな。,2
思い出し笑いならぬ思い出しくしゃみ！家にいたときより悪くなってるじゃないか！,2
明日はちゃんと行くぞ。,3
誰か！誰か！シャンプーしてくださぁい！！,3
どこもかしこも弱ってるんだろな。ネギが目に染みて涙…,2
店の買い出しアップ。週末の梅田をナメてました。めちゃくちゃ疲れた…Orz,2
あーもうなんてゆーかこう…、、出家したい。Orz,2
さー明日からまた働きますよ！爽やかに起きてやる！おやすみなさい！,3
改装後初仕事！いつもより早めに行ったらすでにお客さんが！そして最後のお客さんは、去年衝撃の再開を果たした、初来店の小、中学の友達でした。いやぁありがたやありがたや…,0
今住んでる部屋、ベッドに寝転がって窓を見上げると、ちょうどいい位置に月がきれいに見える。古いし引っ越しを考えることもあるけど、中々手離せない理由のひとつなんだよなぁ。,0
速水もこみちをすごく久しぶりに見たんだけど、何かタイ人ぽくなってる…,0
お昼が遅かったので夜は炭水化物を抜いて冷しゃぶサラダ。…二人前は食べたしおなかパンパンなのに口の中の水分を全部持ってかれる台湾おやつをどんどこ食べてしまう…苦しいのにどんどこ…,2
何か視界がおかしい。そうだ、さっき右目が痛くてコンタクト外したんだ。もう両方はずそう…５分後。あまりにとれないので鏡を見ると、外したはずの右目は黒々とし、まさぐり続けた左目はつぶらにこちらを見ていた。涙が止まらない。,2
物を捨てることで雑念を捨てるでお馴染みの断捨離を実践していますが、 本当はバイクのみならずテレビもPCも掃除機や洗濯機や新しい浴衣とか靴とか素敵なチャリとか、 もう物欲だらけなんだ！,3
自作のコラージュを壁紙にしたら、すごくちょうどよく設定できたのでにんまりしています。,0
うわぁ！たまたまスッキリ見てたらMIYAVI！セットアップ素敵～?爽やか～?,0
雅ちゃん、胸開けていいからおなかのボタン留めなさい。セットアップでへそ出しって…笑,0
あかん！寝ても寝ても眠い！,2
アウトデラックス。黒田勇樹が…(゜ロ゜;,3
あぁっもうっ！山Pの歌う｢サマーヌード｣がイライラするっ！ カバーせんでいいやん!!(｀ロ´;),1
ドラマ製作チームの皆さん、 ドラマにおける主題歌、挿入歌の選択は、そのドラマがヒットかする否かを決める上でかなりのウェイトを占めていると思うのです。 タイトルに採用したからって、山Pに歌わせるとは、どういった戦略なのですか… そこに真心はあるのかい!?,1
【速報】 しかも、その目的の店は月に一回の休みでした。 ど、どんくせぇ…(´д｀|||),2
～でなければならない、に、追いかけられている。,2
一昨日から寝不足でめっさ眠いけど明日はテレビの点検の人が来るから大掃除！でも寝不足の原因のゲームが気になってはかどらん！ 約束の時間に起きれないとまずいので諦めて寝て起きてからまた片づけよ… って、寝不足のもうひとつの原因の漫画読んでしまってこんな時間！ 目が痛い…,2
午前中の来客の予定さえなければ、最高の休日前夜なんだけどなぁ。,2
【お詫び】 急にいきがったことをお詫びいたします。 ちなみに先日友人たちの間で、 私は思春期だ、ということで合致したことを、お知らせいたします。 何だかなぁ…,2
久々にはらわたが煮えているのですが、こーゆうとき、どーするんだっけ？ しょーもな過ぎるからガッと怒ってガッと忘れたい。,1
眠すぎるから早めに寝床に入ったのに、全く寝れない。目が痛い。,2
そういや昔乙女系男子に恋したことあったっけ… 今日の子は多分ゲイだけど。,3
誰か、月曜コヤソニいこ！,3
誰か、月曜落語いこ！方正とか三度みにいこ！,3
友達から、6日に地震来るから備えとけ、との連絡。何情報か知らんけど、彼女の言うことにはいつもどことなく説得力があるので、水と缶詰買ってきた。こわいなぁ。,0
【再掲】誰か、月曜コヤソニいこ！ 9時から9時まで、フラフラなろ！,3
うわっ！今日の小倉さん、帽子の位置間違えてる！(゜ロ゜; 誰か教えてあげてー！,0
舘ひろしの声のきれいさに焦る。,0
久々に緊張した。 時間まで気を紛らそうと軽いお酒を飲んだら、動悸がとまらなくなった。 思った以上にノミの心臓。。,2
うぅ…ポメラニアン…,2
明日の19時に難波にこれる人、いないかなぁ…,3
今週はほんまにしんどかった。 休みの予定を励みに何とか持ち直すとか、通じませんでしたね。 とにかく眠い…,2
ただいま休憩。初NGKに大キョドりでしたが、こなれてきた！ 雀々さん、さすがの迫力！,0
なんだかこないだから心拍数の上がることが多い。 何かのスイッチが入ってしまったようだ。。,0
三四郎さんからまたもやリプ！ あぁ…幸せ…(´∇｀*),0
からの、ジョージアの新しいCM。 こらー！可愛すぎるやろー！ずるいぞ！永作博美ー！,0
続いてまさかのなゆゆからも返信が！嬉しい～(´∇｀),0
今朝がたのツィート。酔ってたんだろうなぁ。 ｢仕方なく帰宅。｣のまちがいだよね。 しかし、｢盗み見した｣ って…,0
久々に何もない休日。 歯医者いったし、洗濯したし、コンタクト買いたいけどまだあるし。 縛られるものが何もない。 たのしい。,0
今まで寝不足やわぁって思った時の合計分きっちり寝たい,3
じぇいそーるぶらざーずはじめてちゃんとみた。 え、かっこいいやん！,0
るろ剣映画見てアニメ思い出すなう。 るろ剣のテーマソングが名作揃いなのは、もはや常識ですよね！,0
うなぎ食べそびれた。かなしい(・_・`),2
四年前NHK｢龍馬伝｣で福山雅治の幼少期を演じ、めちゃんこ可愛い！ 可愛すぎる！と話題になった濱田龍臣くん。 そのあとからマメピカのCMに出ているのだけれど、最新版では、もうすごく大人になっていて、どーしたらいいかわからない。,0
毎週楽しみにしていた「昼顔」だけど、どんどん修羅場に近づいてきていて、前回くらいからすごいヤダ。 もう見たくないよー,2
ヒロミの今の髪型いいなーっ,0
訳あって朝まで飲んだその2時間後に電車に乗っている。 めっっ ちゃしんどい。あかん。,2
ハイ！ということでね！ この期に及んで初めて、 「買えないかもしれない当日券に並ぶ」というのをやっていますよ！ 折り畳みのイスを持って！,3
わ！僕らの音楽最終回なんや！ 見逃した！,2
大野くんかっこイー！,0
片付けが苦手なせいで、また損をしました…( ´△｀),2
今日は思いがけず久々の友達とお散歩ランチしたり、たまたまミナミの帝王千原ver.観れたり、別の友達ともお互いの予定の合間にお茶飲めたり、 掃除も洗濯もできたし、全てのタイミングがよくて、好きな友達にも会えて、大充実の幸せな一日だった。 あとはゲームして寝よ。 おやすみなさい,0
すごく残念なことがあって、分かりやすく落胆してる。 残念だよぉぉぉー！とか、叫んだり。,2
晩御飯仲間が誰も捕まらず、一人ごはんもピンと来ず、 はじめての一人おうち焼き肉なう。 けむい…,2
トータス松本は永遠に、不滅です！,3
と、叫び出したくなったけど電車の中なのでやめました。 いつかライブいきたいなー…,3
みんな！今からフジテレビでかわいこちゃんの方言が聞けるぞー！ 方言女子(男子も)大好物です。,3
いま、最もしゃべってみたいひと。 古市憲寿という男(ひと)…。,3
外飲みが好きな友達のために久々に訪れようと調べたら、大好きだったお店が閉店してた。 むかーし昔の彼とよくいった店。 そろそろ当時の私の魂も成仏しただろうからまた行きたかったのに。 さみしいな。,2
よみたい本がありすぎる。 ここへ来てマジで、kindle買うか悩んでる…,3
めちゃくちゃ眠いのに眠れないっていう、謎な状況…,2
『仕事』『社会不満足』『聞く力』 よみたい本。メモ…,3
明日、当たる気満々でガッチリ外れたライブ。 いきたすぎたので、潜入にチャレンジしようかと思っている。 仕事終わるかなぁ…,2
変な持ち方をしたり、そもそも量が多すぎたり、 抱えきれないほど持ってはいるけれど、何を持っているか、どれが大切か、なんて把握してなくて、 何か足りない気がして、でもそれが何かわからない。そんな状態。 一度すべて手放したい。 手ぶらで歩いて、一番先に手に取るのは何か、それが知りたい,3
人見知り治したい…(T_T),2
つきがきれい。,0
インフルエンザ。 両ハナから鼻水ダラダラ体験。,2
もうひとつは忘れてしまった。 久々に眠れたら11時間も寝た。 からだがいたい,2
インフルエンザこわい。 四日間きっちりのたうち回った。 今朝になってやっと、人間の体温になった。 あと１日は出歩くなと言われてるけど、明日から仕事なんだがどうしよう,2
お裁縫…,2
部屋を片付け始めると、必ず途中から紙類とか引き出しの中の整理とかにはまってしまって、 かなり時間かけたあとにふと辺りを見回しても、やる前と変わってないし何なら余計に散らかってる印象。 ざっくり全体を料理する能力がほしい。色々な場面で。,2
恋愛がなくてもあってもダメになる。 そんなわたしはダメ人間です,2
802つけたらペニシリンが！懐かし過ぎる！！きゃあきゃあ！,0
好きなものを好きといって何が悪いの,1
スキップして帰ってく若いお客さんの背中を見ながら、良い仕事だなと思う。 うまく笑う自信がない日もあるけれど、仕事に生かされてると感じることは多い。,0
別れたあとも自分と付き合ってた頃の写真をSNSのアイコンにしてた相手が、ある日違うアイコンに変えてるのに気づいたときはなんかショック。 別にいいけど…,2
つかれた…もういやだ。 八時以降は家でくつろぐ時間でしょうが。,2
長時間働かないと稼げないシステムから早く抜け出したい,2
なんとなく忙しくて、忙しすぎて、眉毛つながりそう。,2
おなかいたい。食べ過ぎたかな…,2
いまどうしてる？ ブレてます。,2
もうさぁ、いい加減、まともな大人になりたい。 口の聞き方も知らないチンピラです…私は。,2
かささすの苦手。 重いし、投げたくなる,1
そんな今日のテーマソングは なぜかROSIA,2
ネイル、ちゃんと教わると自分は何にもできないってわかる。 そーいやカット教わった時も、着付け教わった時もそうだったな。 無知の知、体感中。,2
多分指おれてるっぽい,2
ポンバシ先生に激しく同意。 物を生み出す人は、心身ともに健康でなければ。 紛いなりにも作り手の端くれとして、日々そう思う,3
書き物がしたくてめったに来ないスタバなう。 決められなくてドリンクとスイーツを時間差でオーダー。 可愛いお姉さんが色々勧めてくれたので、ケーキと、持ち帰り用のドーナツまで購入。 感じよすぎて変な汗かいた。美人に弱い…,0
明けましておめでとうございます。 元旦の朝から、不要品の仕分けをしています。 今日手放したもの 紙製書類収納ラック、バインダー二個。,0
ものすごいリアルで怖い夢みた。 コンパかなんかで知り合ったインテリ男にストーカーされる夢。 見たこともない男やのに顔つきや服装、行動のディテールがリアルすぎてほんまに怖い。,2
学校の先生の質がゴミとかなんとか言っちゃう感じがものすごく癪にさわるので反面教師にさせていただくことにした。 最近勉強を少しサボっていたけど本気でやらなきゃこいつと同じ、いわゆる「ワーホリちゃん」になってしまう。それだけは本当に嫌だ。原動力をくれてありがとう。,1
オーストラリア4ヶ月目。同じ家にいる若い日本男子が電話で誰かと話してる。「ここほんとつまんねえ早く帰りたいわ」ってさっきから聞いてりゃそらあんた程度の英語力でコミュ力もやる気もないやつにはつまんねえだろうよ ってかつまんなくしてるのは自分だって早く気づくか明日日本帰れ。,1
平均寿命女性の方が７年長い、ということは７つ下の相棒を見つければいいのか。。,3
ええ感じにちょっと歳いってでも体めっちゃ仕上がってんのも、髪型も何もかも、無理してなくてほんまにかっこいい。。,0
役に立たない画数の多い語彙はたくさんあるのに、他人と繋がるためのやさしい言葉はスムーズに出てこない。 言葉は三角どころか角だらけだよ。,2
そう考えると、もう私のメンタルなんて60に近いだろうから、少なくない頻度でおばあちゃんみたい、と言われるのは強ち間違いでもなかったのか。。,0
脚立でおもいっきり頭ぶつけて目が回っておる。,2
今さらゴシップガールにはまっておる。,0
思い出が押し寄せてくる。 それを処理できる歳になったということか。,0
10年間話してなかった元彼の悩み相談を受けたり、別の元彼の晴れの日の知らせを聞いたり。 いやまじで、思い出が押し寄せてきてる。,0
人が、自分に興味がなくなる瞬間を見るのは辛いもんだ。ゆっくりと覚めていく様がわかるのも同じく。,2
新しい服を自分のためだけに買ったり、翌日が仕事でも、ちょっとでもピント来たことには乗っかってみたり。 そろそろ行動指針を「自分を喜ばせる」にシフトしてもいい時期が来たような気配を感じてる。,3
と、思う私と、 相手が自分を愛していればいるほど置いていくのはかわいそうだと思った私はどちらが大人だろうか,2
願えば叶うときくので、言います。 GLAYのライブに行きたい！あとメジャーデビューからyukihiro参加前後の曲のみで構成されたラルク!あと、B'z!,3
生きてるだけで丸儲け。どんな生き方でも今日も明日も生きようとしてるだけでとりあえずオッケー,0
新しい環境に立つことは、新しい自分を築くチャンスでもあるけれど、どうしても追いかけてくる自分の本質を直視するチャンスなのかもしれない,3
先月からたまに手伝いに来てるお店。40代?男性スタイリストのBGM 選曲が毎回いちいちツボ。Allyスター誕生のサントラ、policeのベスト、今日はMadonnaのMadam X。立場が違えばちょっと好きになりそうなレベル。エモい,0
昔なじみのお客さんをカット後ちょっと付き合わない？と初めての三軒茶屋。気のいいマスターの作るちょうどいいうまい料理とその安さに驚き、イマドキ会社員目線からのビジネスアイデアをもらい、雑居ビルの屋上で音楽と風に吹かれた。 昔住んでた街の居心地のよさを思い出した夜。,0
ティッシュひと家族ひとつまでなのに2つ買ってるご老人………………………………お前みたいなののせいでな…………………………………………………………… ,1
これすごい。4ロールで238円。もしかしてシルクでできてる？ ,1
いいぞ??????????！！！！！！！！！！！！転売野郎破産しろ！！！！！！！！！！！！！！！！！！バーーーー?ーーーーーーーーーーーーーーーーーーーーーーーーーーーーーカ！！！！！！！！！！！人の尻なんだと思ってやがんだ一生下痢の時に限ってトイレットペーパー切れる呪いに苦しめ ,1
トイぺデマクソ野郎の処分しっかりやって ,1
ミヤネ屋がやったんか???????クソすぎ ,1
シャンプー買い忘れ ,2
納豆ひとつも売ってなくて草 ,2
これどうせジジババやんやろな(偏見) ,1
結構子連れ女もこういう支離滅裂クレーム付けてきたりするけど ,1
覚えたての単語で医師と議論しようとする人々、もうちょっとなんかこう……意味をしっかり調べようとしないのかな…まとめサイトや情報サイトの非医療人にも分かりやすく簡略化された説明や素人が適当な妄想で語っている内容だけで戦えると思っているようで見ているだけで恥ずかしい… ,2
県民全員から頭シバかれてほしい ,1
クッソョンハハァンデほしいな ,3
バカだなあ、バカは勝手にしんでくれればいいけどバカのせいで怪我したりしぬのは本当に嫌 ,1
バカのためにコンプレッサー本体に「肛門に空気を注入しないでください。最悪の場合死に至ります」とデカデカド派手な注意書きが必要になるでしょ ,1
もうなんか好きにしてくださいって感じ…… ,1
複数のバカなジジイのせいで多くの医療従事者の努力が水泡に帰すかもしれない 医療崩壊が起きれば救えるはずだったコロナ以外の患者も救えなくなるかもしれない はァ??? ,1
当たり前っちゃ当たり前なんだけどまとめサイトとかで新コロ記事取り上げられていると医療の医の字も知らん素人が専門家は信用出来ないとかヤバイヤバイ騒いでいてイライラする 迷惑 ,1
群馬県太田市長が新コロ患者の特定可能なレベルの個人情報をツイートしてる　おわっとる ,1
イタリアさすがにヤバいな ,0
自己中の塊かよ マスクの前にタバコやめろや ,1
マックのポテイト食いて ,3
バリも行きたいっすね… ,3
スプリングやしスプリングなコートほしい ,3
高級牛乳買ってから寝る前に牛乳を1杯飲むようにしてるんですけど、体調がまるで違いますね こんな元気になる？牛乳って ,0
これがあった広めのガチャガチャコーナー、私がガチャガチャするまでみんな通り過ぎるだけだったのに私が熱心に回し始めたら何人か大人集まってきて何か面白いやつあるかな?って見てまわってた みんな本当はやりたいけど恥ずかしくて出来ないのかな ,3
コナンの最新作事変歌っとるやん！！！！！！！！！！！！ ,0
神様擁護のリプくっそ頭悪そうでイライラしてくる ,1
うわあああん豆柴カホィいきたい ,3
というか実際現場で働いていたらそんな余力ないこと分かるはずなので察しって感じ… ,1
単色シャドウほしいな ,3
きょうさむくね ,2
暇人によるトイレットペーパー買い占めっていつになったら終わるの？一生棚空なんだけど ,1
関電へのヘイトを高めていく ,3
ドラッグストア行くと消毒液ティッシュトイペ売り切れですって貼り紙あるにもかかわらず絶対に「すいませーん！消毒液ある？？！」「トイレットペーパーないの？」ってわざわざクソデカボイスで店員さんに聞きに行く年配女性いるんだけど確定イベントなんこれは ,1
ウワ～～～～～～～～～ン　朝からそれ正解とかにたまに出てほしい ,2
でも夢に出てくるのはいつも伊沢TAXI ,0
1万円ちょっとじゃなんも出来ないよあべちゃん！！！！ ,1
新型コロナウイルスによって日本人のバカさが浮き彫りになっているので毎日失望している 日本人こんなにバカだったの？知らなかった ,2
こんなキレのあるツイートもう出来ないんだが ,2
年齢を重ねる毎につまらない人間になっていくってn度目 ,2
店員さん呼びましょうか？と聞いてもいやいいですって言われてどーーーしよってかんじ ,2
ドブ鬱の森 ,2
ラーメソ食いたい ,3
お出かけしたさある ,3
こんなん前からそうだけど本当に許せないよね メディアの医療デマ発信で割食うのは医療従事者と患者 ,1
お喋りで飛ぶ唾での飛沫感染があるなら感染しているものの無症候性である状態の若年層がマスクするのメチャメチャ意味があると思って職場のマスク使うようにしている ,3
ツイフェミの味方をするつもりは毛頭ないんだけど、こういう仮想の女性案内員に対してセクハラ質問する奴はどう逆立ちしようがクソキモいことに変わりはないので、うまくいなすような返答を準備するのではなくグロや心霊系のショッキングな画像でも返すように設定しておけばよかったのにとは思います。 ,1
可愛いねくらいは別にいいと思うけど結婚してるの？はちょっとキモいしスリーサイズ聞いてんのはキモさがカンストしてる ,1
ワニ本当に死んだやん ,2
バイオおもしろいわ ,0
どうぶつの森初プレイ夫「これローン返さなかったらどうなるの？地下労働施設に送られたりしない？」 ,0
ネトゲ出会い厨の定義は出会い目的にネトゲをやっているとか相手が嫌がってるのに言いよるとかだと思います ,1
真っ当な理由で受給している人もまとめて生保という言葉を使って差別する医療従事者ヤバすぎん？病気や怪我で働けなくなっても自分が生きるために人の稼いだ税金で生きながらえる後ろめたさを感じながら生保一括りに批判される苦しみを是非味わってみてほしいな ,1
あのねこれ個人だけの問題じゃなくて親が働けなくなって生保受けないといけなくなった子供に対しても言えんの？って感じなんすよね ,1
不正受給者を指して批判したいのは分かるよ けどそれならきちんと正確な言葉を使わないと ,1
コントロール良好な喘息患者が重症化してえくも使ってるって聞いてドキッとするなどしている ,0
入院てなって負担される公費分考えるとこれメッチャいい案な気がするな ,3
もうすごいな 意味不明なんだけどなんで2Lペットボトル大量購入してる人いるんだろう ,0
今差し迫っているのは感染者拡大による医療崩壊の危機でしょ ,1
